Building Permit Application Number,Building Address,Date Issued,Document Type,Number of Units Certified
201807205125,4341 Kirkham Street,2022/07/11,CFC,1
202103116330,222 Madrid Street,2022/07/11,CFC,1
201908088343,955A Wisconsin Street,2022/07/11,CFC,2
201611162893,749A 18th Avenue,2022/07/25,CFC,1
201804126212,118 8th Avenue,2022/07/25,CFC,1
202007019449,24 Jasper Place,2022/07/26,CFC,1
201702088949,24 Jasper Place,2022/07/26,CFC,2
201710131190,456 8th Avenue,2022/07/26,CFC,1
202001021170,1170 South Van Ness Avenue,2022/07/26,CFC,1
201905291875,2426 Bryant Street,2022/07/29,CFC,2
201403100361,1335 Larkin Street,2022/08/02,Initial TCO,23
201901039599,1 Brady Street,2022/08/15,Amended TCO,49
201502269406,311 Grove Street,2022/08/16,Initial TCO,7
201802211851,681 Florida Street,2022/08/18,Initial TCO,130
201805038149,1555 Chestnut Street,2022/08/02,CFC,3
201811307144,723 Haight Street,2022/08/03,CFC,1
201912109138,1137 Potrero Street,2022/08/03,CFC,1
202002114183,550A 27th Avenue,2022/08/09,CFC,1
202106102072,1014-1016 Diamond Street,2022/08/09,CFC,1
202005308023,3549 Mission Street,2022/08/09,CFC,2
201812218971,432 Jackson Street,2022/08/12,CFC,1
201912300913,90 Dunsmuir Street,2022/08/15,CFC,1
201908088311,1455 Shafter Avenue,2022/08/15,CFC,1
202101202963,883 Urbano Drive,2022/08/17,CFC,1
202101223148,2932 Gough Street,2022/08/18,CFC,1
201901079714,5024 Fulton Street,2022/08/18,CFC,1
202109249107,2011 17th Avenue,2021/08/23,CFC,1
201910023384,935 O'Farrell Street,2022/08/23,CFC,1
201807194996,725 O'Farrell Street,2022/08/26,CFC,4
201710040393,2121 Mason Street,2022/08/31,CFC,1
201901281440,410 China Basin Street,2022/09/01,Initial TCO,132
201811145895,1125 Stevenson Street,2022/09/02,Initial TCO,64
201901039599,1 Brady Street,2022/09/08,Amended TCO,49
201703211958,110 Frederick Street,2022/09/16,Initial TCO,4
201901039599,1 Brady Street,2022/09/28,Amended TCO,4
201804136327,361 Turk Street,2022/09/28,Initial TCO,140
201810233860,1068 Mission Street,2022/09/30,Amended TCO,192
201911268279,60A Walter Street,2022/09/01,CFC,1
202011179019,501 Thornton Avenue,2022/09/06,CFC,1
201706260343,1285 9th Avenue,2022/09/08,CFC,1
201707212632,1285 8th Avenue,2022/09/08,CFC,2
201710040402,4 Newell Street,2022/09/09,CFC,1
201704113679,510A 26th Avenue,2022/09/12,CFC,1
201801098154,1712-1720 McAllister Street,2022/09/12,CFC,2
201810233892,2666A McAllister Street,2022/09/12,CFC,1
201604124497,3490 20th Street,2022/09/13,CFC,4
202003066430,337 10th Avenue,2022/09/14,CFC,3
202008121663,3508A 23rd Streeet,2022/09/14,CFC,1
202011098504,665 20th Avenue,2022/09/15,CFC,1
202101072281,2271 15th Avenue,2022/09/15,CFC,1
201911086865,1508 Taylor street,2022/09/19,CFC,1
202101283530,24 Jasper Place,2022/09/20,CFC,1
202203250946,1637 Clay Street,2022/09/20,CFC,2
201801128595,259 Crescent Avenue,2022/09/22,CFC,1
201902072313,1608 Cayuga Avenue,2022/09/23,CFC,1
201903114882,789 Carolina Street,2022/09/28,CFC,1
202110200871,1649 la Salle Avenue,2022/09/28,CFC,1
201712217187,2483-2485 Post Street,2022/09/28,CFC,1
201703080995,635 Scott Street,2022/09/30,CFC,2
201701267979,800 29th Avenue,2022/09/30,CFC,1
201608225703,1362-1364 Page Street,2022/09/30,CFC,4
201708033793,2581 Post Street,2022/09/30,CFC,1
202012110887,2581-2583 Post Street,2022/09/30,CFC,1
